"","year","step","area","length","age","num","fleet"
"334",1984,1,"area1","allages","len76",13.1,"SpPal"
"335",1984,1,"area1","allages","len77",1.9,"SpPal"
"336",1984,1,"area1","allages","len78",9.4,"SpPal"
"337",1984,1,"area1","allages","len79",7.5,"SpPal"
"338",1984,1,"area1","allages","len80",24.4,"SpPal"
"339",1984,1,"area1","allages","len81",0,"SpPal"
"340",1984,1,"area1","allages","len82",0,"SpPal"
"341",1984,1,"area1","allages","len83",0,"SpPal"
"342",1984,1,"area1","allages","len84",0,"SpPal"
"343",1984,1,"area1","allages","len85",0,"SpPal"
"344",1984,1,"area1","allages","len86",0,"SpPal"
"345",1984,1,"area1","allages","len87",0,"SpPal"
"346",1984,1,"area1","allages","len88",0,"SpPal"
"347",1984,1,"area1","allages","len89",0,"SpPal"
"348",1984,1,"area1","allages","len90",0,"SpPal"
"349",1984,1,"area1","allages","len91",0,"SpPal"
"350",1984,1,"area1","allages","len92",0,"SpPal"
"351",1984,1,"area1","allages","len93",0,"SpPal"
"352",1984,1,"area1","allages","len94",0,"SpPal"
"353",1984,1,"area1","allages","len95",0,"SpPal"
"354",1984,1,"area1","allages","len96",0,"SpPal"
"355",1984,1,"area1","allages","len97",0,"SpPal"
"356",1984,1,"area1","allages","len98",0,"SpPal"
"357",1984,1,"area1","allages","len99",0,"SpPal"
"358",1984,1,"area1","allages","len100",0,"SpPal"
"359",1984,1,"area1","allages","len101",0,"SpPal"
"360",1984,1,"area1","allages","len102",0,"SpPal"
"361",1984,1,"area1","allages","len103",0,"SpPal"
"362",1984,1,"area1","allages","len104",0,"SpPal"
"363",1984,1,"area1","allages","len105",0,"SpPal"
"364",1984,1,"area1","allages","len106",0,"SpPal"
"365",1984,1,"area1","allages","len107",0,"SpPal"
"366",1984,1,"area1","allages","len108",0,"SpPal"
"367",1984,1,"area1","allages","len109",0,"SpPal"
"368",1984,1,"area1","allages","len110",0,"SpPal"
"369",1984,1,"area1","allages","len111",0,"SpPal"
"370",1984,1,"area1","allages","len112",0,"SpPal"
"371",1984,1,"area1","allages","len113",0,"SpPal"
"372",1984,1,"area1","allages","len114",0,"SpPal"
"373",1984,1,"area1","allages","len115",0,"SpPal"
"374",1984,1,"area1","allages","len116",0,"SpPal"
"375",1984,1,"area1","allages","len117",0,"SpPal"
"376",1984,1,"area1","allages","len118",0,"SpPal"
"377",1984,1,"area1","allages","len119",0,"SpPal"
"378",1984,1,"area1","allages","len120",0,"SpPal"
"379",1984,1,"area1","allages","len121",0,"SpPal"
"380",1984,1,"area1","allages","len122",0,"SpPal"
"381",1984,1,"area1","allages","len123",0,"SpPal"
"382",1984,1,"area1","allages","len124",0,"SpPal"
"383",1984,1,"area1","allages","len125",0,"SpPal"
"384",1984,1,"area1","allages","len126",0,"SpPal"
"385",1984,1,"area1","allages","len127",0,"SpPal"
"386",1984,1,"area1","allages","len128",0,"SpPal"
"387",1984,1,"area1","allages","len129",0,"SpPal"
"388",1985,1,"area1","allages","len1",0,"SpPal"
"389",1985,1,"area1","allages","len2",0,"SpPal"
"390",1985,1,"area1","allages","len3",0,"SpPal"
"391",1985,1,"area1","allages","len4",0,"SpPal"
"392",1985,1,"area1","allages","len5",0,"SpPal"
"393",1985,1,"area1","allages","len6",0,"SpPal"
"394",1985,1,"area1","allages","len7",0,"SpPal"
"395",1985,1,"area1","allages","len8",0,"SpPal"
"396",1985,1,"area1","allages","len9",0,"SpPal"
"397",1985,1,"area1","allages","len10",0,"SpPal"
"398",1985,1,"area1","allages","len11",0,"SpPal"
"399",1985,1,"area1","allages","len12",0,"SpPal"
"400",1985,1,"area1","allages","len13",0,"SpPal"
"401",1985,1,"area1","allages","len14",0,"SpPal"
"402",1985,1,"area1","allages","len15",0,"SpPal"
"403",1985,1,"area1","allages","len16",0,"SpPal"
"404",1985,1,"area1","allages","len17",0,"SpPal"
"405",1985,1,"area1","allages","len18",0,"SpPal"
"406",1985,1,"area1","allages","len19",0,"SpPal"
"407",1985,1,"area1","allages","len20",0,"SpPal"
"408",1985,1,"area1","allages","len21",0,"SpPal"
"409",1985,1,"area1","allages","len22",0,"SpPal"
"410",1985,1,"area1","allages","len23",0,"SpPal"
"411",1985,1,"area1","allages","len24",0,"SpPal"
"412",1985,1,"area1","allages","len25",0,"SpPal"
"413",1985,1,"area1","allages","len26",0,"SpPal"
"414",1985,1,"area1","allages","len27",0,"SpPal"
"415",1985,1,"area1","allages","len28",0,"SpPal"
"416",1985,1,"area1","allages","len29",0,"SpPal"
"417",1985,1,"area1","allages","len30",1,"SpPal"
"418",1985,1,"area1","allages","len31",1,"SpPal"
"419",1985,1,"area1","allages","len32",1,"SpPal"
"420",1985,1,"area1","allages","len33",0,"SpPal"
"421",1985,1,"area1","allages","len34",1,"SpPal"
"422",1985,1,"area1","allages","len35",10,"SpPal"
"423",1985,1,"area1","allages","len36",13,"SpPal"
"424",1985,1,"area1","allages","len37",8,"SpPal"
"425",1985,1,"area1","allages","len38",8,"SpPal"
"426",1985,1,"area1","allages","len39",14,"SpPal"
"427",1985,1,"area1","allages","len40",20,"SpPal"
"428",1985,1,"area1","allages","len41",45,"SpPal"
"429",1985,1,"area1","allages","len42",121,"SpPal"
"430",1985,1,"area1","allages","len43",100,"SpPal"
"431",1985,1,"area1","allages","len44",225,"SpPal"
"432",1985,1,"area1","allages","len45",106,"SpPal"
"433",1985,1,"area1","allages","len46",267,"SpPal"
"434",1985,1,"area1","allages","len47",242,"SpPal"
"435",1985,1,"area1","allages","len48",187,"SpPal"
